checkpoint,target_tokens,init_loss,early_mean_loss,late_mean_loss,late_minus_early,between_chain_range,distance_max,status,rejection_reason
tokens_000000000,0,9.2486,2.1652,2.0217,-0.1435,2.0815,254.67,rejected,persistent_downhill_movement_below_center
tokens_000100000,100000,1.6667,2.0671,2.3498,0.2827,1.1118,254.67,reportable_with_diagnostics,
tokens_000400000,400000,2.5393,2.2502,2.3209,0.0708,1.3667,254.67,reportable_with_diagnostics,
tokens_001500000,1500000,4.8257,2.2512,2.3227,0.0715,1.3266,254.67,reportable_with_diagnostics,
tokens_005000000,5000000,5.9021,2.2356,2.3313,0.0957,1.2082,254.67,reportable_with_diagnostics,
tokens_008000000,8000000,3.2526,1.9704,2.0512,0.0808,2.2225,254.67,reportable_with_diagnostics,
