condition,final_tokens,pt_bpb_initial,pt_bpb_final,pt_bpb_delta,grammar_margin_final,grammar_margin_95pct_ci,grammar_accuracy_final,english_bpb_final,english_bpb_delta
structured PT seed A,8000000,6.7735,6.2615,-0.5120,1.9165,"[-2.2673, 6.9216]",0.600,4.3922,1.6746
structured PT seed B,8000000,6.7735,6.4980,-0.2756,3.0162,"[-2.4888, 9.5349]",0.700,4.7117,1.9941
token-shuffled PT,8000000,6.7735,8.0578,1.2842,1.1275,"[-3.6533, 7.8160]",0.400,5.1454,2.4279
matched English,8000000,6.7735,8.7935,2.0200,-2.6044,"[-8.4135, 2.5691]",0.400,3.8660,1.1484
