condition,condition_label,checkpoint,target_tokens,actual_cumulative_tokens,pt_bpb,english_bpb,grammar_mean_margin,grammar_margin_ci_low,grammar_margin_ci_high,grammar_accuracy,grammar_examples,source_summary
structured_pt_seed_a,structured PT seed A,tokens_000000000,0,0,6.77354166271754,2.7175759834284365,0.45546588897705076,-2.6150027561187743,3.993387947082518,0.4,10,results/02_final_training/final_training_20260620T053855Z/conditions/structured_pt_seed_a/condition_summary.json
structured_pt_seed_a,structured PT seed A,tokens_000025000,25000,28672,4.901459342195404,2.9923472380030174,-0.1430837631225586,-1.1477745056152344,0.5945068359374995,0.5,10,results/02_final_training/final_training_20260620T053855Z/conditions/structured_pt_seed_a/condition_summary.json
structured_pt_seed_a,structured PT seed A,tokens_000050000,50000,53248,4.496242658826395,3.0979465188389397,0.17972297668457032,-0.46806007623672485,1.0069062614440916,0.5,10,results/02_final_training/final_training_20260620T053855Z/conditions/structured_pt_seed_a/condition_summary.json
structured_pt_seed_a,structured PT seed A,tokens_000100000,100000,102400,4.214069420142069,3.325695306891151,0.5382957458496094,-0.010965371131896972,1.485255310535431,0.7,10,results/02_final_training/final_training_20260620T053855Z/conditions/structured_pt_seed_a/condition_summary.json
structured_pt_seed_a,structured PT seed A,tokens_000200000,200000,200704,4.333572277708132,3.7552733164299443,0.719118881225586,-0.46562700748443603,2.205966758728027,0.5,10,results/02_final_training/final_training_20260620T053855Z/conditions/structured_pt_seed_a/condition_summary.json
structured_pt_seed_a,structured PT seed A,tokens_000400000,400000,401408,5.612260600545781,4.211804807805307,1.2532649993896485,-2.0193516159057614,5.182615013122558,0.5,10,results/02_final_training/final_training_20260620T053855Z/conditions/structured_pt_seed_a/condition_summary.json
structured_pt_seed_a,structured PT seed A,tokens_000800000,800000,802816,5.85759709290484,4.277782042989826,1.0069379806518555,-2.843260316848755,5.074142503738403,0.4,10,results/02_final_training/final_training_20260620T053855Z/conditions/structured_pt_seed_a/condition_summary.json
structured_pt_seed_a,structured PT seed A,tokens_001500000,1500000,1503232,5.969627493103182,4.324298235667859,1.1091474533081054,-2.5419981813430788,4.907526712417601,0.5,10,results/02_final_training/final_training_20260620T053855Z/conditions/structured_pt_seed_a/condition_summary.json
structured_pt_seed_a,structured PT seed A,tokens_003000000,3000000,3002368,6.124560512922263,4.333287784310262,0.8028173446655273,-2.8315050983428955,4.260255546569824,0.7,10,results/02_final_training/final_training_20260620T053855Z/conditions/structured_pt_seed_a/condition_summary.json
structured_pt_seed_a,structured PT seed A,tokens_005000000,5000000,5001216,6.250144015378488,4.334675298603865,0.2961006164550781,-3.5786281299591063,3.8306866264343244,0.6,10,results/02_final_training/final_training_20260620T053855Z/conditions/structured_pt_seed_a/condition_summary.json
structured_pt_seed_a,structured PT seed A,tokens_008000000,8000000,8003584,6.26152273889785,4.392169948267166,1.9165000915527344,-2.267253897190094,6.921580712795255,0.6,10,results/02_final_training/final_training_20260620T053855Z/conditions/structured_pt_seed_a/condition_summary.json
structured_pt_seed_b,structured PT seed B,tokens_000000000,0,0,6.77354166271754,2.7175759834284365,0.45546588897705076,-2.6150027561187743,3.993387947082518,0.4,10,results/02_final_training/final_training_20260620T053855Z/conditions/structured_pt_seed_b/condition_summary.json
structured_pt_seed_b,structured PT seed B,tokens_000025000,25000,28672,4.867191540315743,3.004970309545929,-0.16671247482299806,-1.205747151374817,0.574420893192291,0.6,10,results/02_final_training/final_training_20260620T053855Z/conditions/structured_pt_seed_b/condition_summary.json
structured_pt_seed_b,structured PT seed B,tokens_000050000,50000,53248,4.473366382514827,3.12060304880948,0.1863862991333008,-0.36308105230331417,0.931808066368103,0.6,10,results/02_final_training/final_training_20260620T053855Z/conditions/structured_pt_seed_b/condition_summary.json
structured_pt_seed_b,structured PT seed B,tokens_000100000,100000,102400,4.235612313839524,3.3214207565226594,0.7514941215515136,0.01744091510772705,1.9807463550567623,0.8,10,results/02_final_training/final_training_20260620T053855Z/conditions/structured_pt_seed_b/condition_summary.json
structured_pt_seed_b,structured PT seed B,tokens_000200000,200000,200704,4.305745875886758,3.6916682275153847,1.3527749061584473,-1.1098572540283203,3.9816068243980376,0.5,10,results/02_final_training/final_training_20260620T053855Z/conditions/structured_pt_seed_b/condition_summary.json
structured_pt_seed_b,structured PT seed B,tokens_000400000,400000,401408,5.646551708719287,4.157964014709508,-1.041676139831543,-6.7153258228301995,4.537946448326105,0.4,10,results/02_final_training/final_training_20260620T053855Z/conditions/structured_pt_seed_b/condition_summary.json
structured_pt_seed_b,structured PT seed B,tokens_000800000,800000,802816,5.955763859099124,4.284013450327785,-0.2597743034362793,-6.026639876365661,5.288144967555998,0.4,10,results/02_final_training/final_training_20260620T053855Z/conditions/structured_pt_seed_b/condition_summary.json
structured_pt_seed_b,structured PT seed B,tokens_001500000,1500000,1503232,6.097893517155306,4.286990437031246,-0.18746185302734375,-5.37020658493042,4.920979270935058,0.5,10,results/02_final_training/final_training_20260620T053855Z/conditions/structured_pt_seed_b/condition_summary.json
structured_pt_seed_b,structured PT seed B,tokens_003000000,3000000,3002368,6.218320091776051,4.337646426454124,-0.38849506378173826,-4.861284265518188,4.155045909881581,0.4,10,results/02_final_training/final_training_20260620T053855Z/conditions/structured_pt_seed_b/condition_summary.json
structured_pt_seed_b,structured PT seed B,tokens_005000000,5000000,5001216,6.317899022422801,4.291328400869688,-1.1019485473632813,-5.321057739257812,3.1854984283447223,0.3,10,results/02_final_training/final_training_20260620T053855Z/conditions/structured_pt_seed_b/condition_summary.json
structured_pt_seed_b,structured PT seed B,tokens_008000000,8000000,8003584,6.497978548528638,4.71169870564391,3.016176223754883,-2.4887821674346924,9.534910964965817,0.7,10,results/02_final_training/final_training_20260620T053855Z/conditions/structured_pt_seed_b/condition_summary.json
shuffled_pt,token-shuffled PT,tokens_000000000,0,0,6.77354166271754,2.7175759834284365,0.45546588897705076,-2.6150027561187743,3.993387947082518,0.4,10,results/02_final_training/final_training_20260620T053855Z/conditions/shuffled_pt/condition_summary.json
shuffled_pt,token-shuffled PT,tokens_000025000,25000,28672,4.890355042079637,3.0695834658496555,0.010997295379638672,-0.7793288040161133,0.7237393140792844,0.5,10,results/02_final_training/final_training_20260620T053855Z/conditions/shuffled_pt/condition_summary.json
shuffled_pt,token-shuffled PT,tokens_000050000,50000,53248,4.538892191791427,3.183652580585121,0.041430091857910155,-0.1508496356010437,0.23552052259445186,0.5,10,results/02_final_training/final_training_20260620T053855Z/conditions/shuffled_pt/condition_summary.json
shuffled_pt,token-shuffled PT,tokens_000100000,100000,102400,4.328772165948855,3.326838127903964,0.16214456558227539,-0.07254962921142578,0.4587405943870541,0.6,10,results/02_final_training/final_training_20260620T053855Z/conditions/shuffled_pt/condition_summary.json
shuffled_pt,token-shuffled PT,tokens_000200000,200000,200704,4.341530228154701,3.584839966060738,0.29041223526000975,-0.15317742347717284,0.9949288797378537,0.5,10,results/02_final_training/final_training_20260620T053855Z/conditions/shuffled_pt/condition_summary.json
shuffled_pt,token-shuffled PT,tokens_000400000,400000,401408,6.338620615455432,4.200319387698853,-0.9921621322631836,-2.8822528457641603,1.1367875051498382,0.3,10,results/02_final_training/final_training_20260620T053855Z/conditions/shuffled_pt/condition_summary.json
shuffled_pt,token-shuffled PT,tokens_000800000,800000,802816,6.879364054053716,4.33497444475559,-2.5364777565002443,-4.774511990547181,-0.5843589878082276,0.2,10,results/02_final_training/final_training_20260620T053855Z/conditions/shuffled_pt/condition_summary.json
shuffled_pt,token-shuffled PT,tokens_001500000,1500000,1503232,6.9894564210285886,4.459459221930509,-2.7354877471923826,-5.005876088142395,-0.5715073728561403,0.2,10,results/02_final_training/final_training_20260620T053855Z/conditions/shuffled_pt/condition_summary.json
shuffled_pt,token-shuffled PT,tokens_003000000,3000000,3002368,7.156325545873372,4.497033426068602,-2.3497690200805663,-4.666714878082275,-0.19411185741424752,0.3,10,results/02_final_training/final_training_20260620T053855Z/conditions/shuffled_pt/condition_summary.json
