checkpoint,target_tokens,model_safetensors_sha256,checkpoint_metadata_sha256,report_status
tokens_000000000,0,a4ec8b5ca09fdf833cb8c2868e6aee3310bfaddbe96f27fbe9a3beb98f5541b8,1d3ec2caab2de0acbd887a0e3f6c0f54afadfe6512f166065dc84bb1ba7a2382,rejected
tokens_000100000,100000,60fbd1998e9eb9a65e56e6185755e4a8932325b5b4083e751750f9d2612006b4,53ac1018aa04969ee2a04aff9ba5dbdc4a154f27bd5a2aaf6c214b84f3a73865,reportable_with_diagnostics
tokens_000400000,400000,6917ab9131a99959390e9e2f0f9019668c7d0798d98e6f05034ac5a6b62639e8,cd68c219dc4b211c9c61c87c6216b8253275e639aa098f4351d125f58b673897,reportable_with_diagnostics
tokens_001500000,1500000,492b000ba9f422088bc88aed0e5c8d027150a4407548e291d1db4ccef7ce1ec4,7b6156df1f0cdfed0e7f2d06dc3f18c8b916262d6dc3c6e469e5f057534944c4,reportable_with_diagnostics
tokens_005000000,5000000,4274e422c0e4a08e388c47e39749d7832536a6a4baa982c2f628425923fa5590,d6ac36b54c1469470bcfa1e6e3d2e2ff49e9d21e907c363ca84986a51a2b8658,reportable_with_diagnostics
tokens_008000000,8000000,f312b10fa96c9aede3fc31b28a50c06ae19aaf37002a6196f4cc6e53ca8d7698,2dcff7367b62b611a99dec09bb6b998956516ee573df7029f97b027dfcf02af9,reportable_with_diagnostics
